Jurisdiction,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,
Alberta,01-Sep-05,,01-Sep-07,01-Apr-08,01-Apr-09,,01-Sep-11,01-Sep-12,01-Sep-13,01-Sep-14,01-Oct-15,01-Oct-16,01-Oct-17,01-Oct-18,26-Jun-19,,,,,,,
,$7.00 ,,$8.00 ,$8.40 ,$8.80 ,,$9.40 ,$9.75 ,$9.95 ,$10.20 ,$11.20 ,$12.20 ,$13.60 ,$15.00 ,$15.00 ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
British Columbia,,,,,,,01-May-11,01-May-12,,,15-Sep-15,15-Sep-16,15-Sep-17,01-Jun-18,01-Jun-19,01-Jun-20,01-Jun-21,01-Jun-22,01-Jun-23,01-Jun-24,,
,,,,,,,$8.75 ,$10.25 ,,,$10.45 ,$10.85 ,$11.35 ,$12.65 ,$13.85 ,$14.60 ,$15.20 ,$15.65 ,$16.75 ,$17.40 ,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,01-Nov-11,,,,,,,,,,,,,,,
,,,,,,,$9.50 ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Manitoba,01-Apr-05,01-Apr-06,01-Apr-07,01-Apr-08,01-May-09,01-Oct-10,01-Oct-11,01-Oct-12,01-Oct-13,01-Oct-14,01-Oct-15,,01-Oct-17,01-Oct-18,01-Oct-19,01-Oct-20,01-Oct-21,01-Oct-22,01-Apr-23,01-Oct-24,,
,$7.25 ,$7.60 ,$8.00 ,$8.50 ,$8.75 ,$9.50 ,$10.00 ,$10.25 ,$10.45 ,$10.70 ,$11.00 ,,$11.15 ,$11.35 ,$11.65 ,$11.90 ,$11.95 ,$13.50 ,$14.15 ,$15.80 ,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,01-Oct-09,,,,,,,,,,,,,,,,,
,,,,,$9.00 ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
New Brunswick,01-Jan-05,01-Jan-06,05-Jan-07,31-Mar-08,01-Sep-09,01-Apr-10,01-Apr-11,,,31-Dec-14,,01-Apr-16,01-Apr-17,01-Apr-18,01-Apr-19,01-Apr-20,01-Apr-21,01-Apr-22,01-Apr-23,01-Apr-24,,
,$6.30 ,$6.50 ,$7.00 ,$7.75 ,$8.25 ,$8.50 ,$9.50 ,,,$10.30 ,,$10.65 ,$11.00 ,$11.25 ,$11.50 ,$11.70 ,$11.75 ,$12.75 ,$14.75 ,$15.30 ,,
,,,,,,,,,,,,,,,,,,,,,,
,,01-Jul-06,01-Jul-07,,,01-Sep-10,01-Sep-11,,,,,,,,,,,01-Oct-22,,,,
,,$6.70 ,$7.25 ,,,$9.00 ,$10.00 ,,,,,,,,,,,$13.75 ,,,,
,,,,,,,,,,,,,,,,,,,,,,
Newfoundland and Labrador,01-Jun-05,01-Jan-06,01-Jan-07,01-Apr-08,01-Jan-09,01-Jan-10,,,,01-Oct-14,01-Oct-15,,01-Apr-17,01-Apr-18,01-Apr-19,01-Apr-20,01-Apr-21,01-Apr-22,01-Apr-23,01-Apr-24,,
,$6.25 ,$6.50 ,$7.00 ,$8.00 ,$8.50 ,$9.50 ,,,,$10.25 ,$10.50 ,,$10.75 ,$11.15 ,$11.40 ,$11.65 ,$12.50 ,$13.20 ,$14.50 ,$15.60 ,,
,,,,,,,,,,,,,,,,,,,,,,
,,01-Jun-06,01-Oct-07,,01-Jul-09,01-Jul-10,,,,,,,01-Oct-17,,,01-Oct-20,01-Oct-21,01-Oct-22,01-Oct-23,,,
,,$6.75 ,$7.50 ,,$9.00 ,$10.00 ,,,,,,,$11.00 ,,,$12.15 ,$12.75 ,$13.70 ,$15.00 ,,,
,,,,,,,,,,,,,,,,,,,,,,
Northwest Territories,,,,,,01-Apr-10,01-Apr-11,,,,01-Jun-15,,,01-Apr-18,,,01-Sep-21,,01-Sep-23,01-Sep-24,,
,,,,,,$9.00 ,$10.00 ,,,,$12.50 ,,,$13.46 ,,,$15.20 ,,$16.05 ,$16.70 ,,
,,,,,,,,,,,,,,,,,,,,,,
